date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:08	2805/2805	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Jan%202019%2012:08:00%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/pattern.png	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/pattern.png	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:26	114049/114049	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:08:00%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/2.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/2.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:27	143514/143514	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:08:00%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/1.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/1.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:28	4918/4918	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:07:53%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/Karbhari.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/Karbhari.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/KeynoteSpeaker.php)
12:00:28	3814/3814	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:07:54%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/Vilas.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/Vilas.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/KeynoteSpeaker.php)
12:00:30	143514/143514	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:08:03%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/screenshot/1.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/screenshot/1.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:36	167825/167825	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:08:00%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/3.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/3.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:36	122452/122452	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e.html?v=4.7.0	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e3e6e.html	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css)
12:00:46	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e3e6e.woff2	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css)
12:00:51	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e3e6e.woff	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css)
12:00:57	3634/3634	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Jan%202019%2012:07:51%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon.eot	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon.eot	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css)
12:01:01	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfontd41dd41d.eot	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css)
12:01:01	3634/3634	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2007%20Jan%202019%2012:07:51%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticond41d.eot?	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticond41dd41d.eot	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css)
12:01:03	2432/2432	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2012:07:51%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon.html	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon.html	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css)
12:01:05	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e3e6e.ttf	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css)
12:01:14	3456/3456	---M--	200	added ('OK')	font/ttf	date:Mon,%2007%20Jan%202019%2012:07:51%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon.ttf	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon.ttf	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css)
12:01:15	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2007%20Jan%202019%2012:07:52%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e.svg?v=4.7.0	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/fontawesome-webfont3e6e3e6e.svg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css)
12:01:16	344/344	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2012:07:51%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon-2.html	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/Flaticon-2.html	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css)
12:01:17	342/342	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Jan%202019%2012:07:50%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/Flaticon.html	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/Flaticon.html	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css)
